Gender,Addicted_Score_Slope,Std_Error,CI_Lower_95,CI_Upper_95
Female,0.5155657110991777,0.009006607410496005,0.49791276057460554,0.5332186616237499
Male,0.5235783185774119,0.008786626444742644,0.5063565307457163,0.5408001064091075
