Avg_Daily_Usage_Hours,Academic_Level,Age,Gender,Country_Grouped,Predicted_Harm_Index
1.5,Graduate,20.659574468085108,Female,Other,-2.170439258173536
1.61864406779661,Graduate,20.659574468085108,Female,Other,-2.100738578275292
1.7372881355932204,Graduate,20.659574468085108,Female,Other,-2.031037898377048
1.8559322033898304,Graduate,20.659574468085108,Female,Other,-1.9613372184788043
1.9745762711864407,Graduate,20.659574468085108,Female,Other,-1.8916365385805605
2.093220338983051,Graduate,20.659574468085108,Female,Other,-1.8219358586823167
2.211864406779661,Graduate,20.659574468085108,Female,Other,-1.752235178784073
2.330508474576271,Graduate,20.659574468085108,Female,Other,-1.6825344988858293
2.4491525423728815,Graduate,20.659574468085108,Female,Other,-1.6128338189875855
2.5677966101694913,Graduate,20.659574468085108,Female,Other,-1.543133139089342
2.6864406779661016,Graduate,20.659574468085108,Female,Other,-1.4734324591910979
2.805084745762712,Graduate,20.659574468085108,Female,Other,-1.403731779292854
2.923728813559322,Graduate,20.659574468085108,Female,Other,-1.3340310993946105
3.0423728813559325,Graduate,20.659574468085108,Female,Other,-1.2643304194963665
3.1610169491525424,Graduate,20.659574468085108,Female,Other,-1.194629739598123
3.2796610169491527,Graduate,20.659574468085108,Female,Other,-1.124929059699879
3.398305084745763,Graduate,20.659574468085108,Female,Other,-1.055228379801635
3.516949152542373,Graduate,20.659574468085108,Female,Other,-0.9855276999033917
3.635593220338983,Graduate,20.659574468085108,Female,Other,-0.9158270200051477
3.7542372881355934,Graduate,20.659574468085108,Female,Other,-0.8461263401069037
3.8728813559322033,Graduate,20.659574468085108,Female,Other,-0.7764256602086601
3.9915254237288136,Graduate,20.659574468085108,Female,Other,-0.7067249803104165
4.110169491525424,Graduate,20.659574468085108,Female,Other,-0.6370243004121725
4.228813559322035,Graduate,20.659574468085108,Female,Other,-0.5673236205139285
4.347457627118644,Graduate,20.659574468085108,Female,Other,-0.49762294061568535
4.466101694915254,Graduate,20.659574468085108,Female,Other,-0.4279222607174413
4.584745762711865,Graduate,20.659574468085108,Female,Other,-0.3582215808191975
4.703389830508474,Graduate,20.659574468085108,Female,Other,-0.28852090092095395
4.822033898305085,Graduate,20.659574468085108,Female,Other,-0.21882022102271037
4.9406779661016955,Graduate,20.659574468085108,Female,Other,-0.1491195411244659
5.059322033898305,Graduate,20.659574468085108,Female,Other,-0.07941886122622233
5.177966101694915,Graduate,20.659574468085108,Female,Other,-0.009718181327978748
5.296610169491526,Graduate,20.659574468085108,Female,Other,0.05998249857026572
5.415254237288136,Graduate,20.659574468085108,Female,Other,0.1296831784685093
5.533898305084746,Graduate,20.659574468085108,Female,Other,0.19938385836675288
5.652542372881356,Graduate,20.659574468085108,Female,Other,0.26908453826499645
5.771186440677966,Graduate,20.659574468085108,Female,Other,0.33878521816324003
5.889830508474576,Graduate,20.659574468085108,Female,Other,0.4084858980614836
6.008474576271187,Graduate,20.659574468085108,Female,Other,0.4781865779597281
6.127118644067797,Graduate,20.659574468085108,Female,Other,0.5478872578579717
6.245762711864407,Graduate,20.659574468085108,Female,Other,0.6175879377562152
6.364406779661017,Graduate,20.659574468085108,Female,Other,0.6872886176544588
6.483050847457627,Graduate,20.659574468085108,Female,Other,0.7569892975527024
6.601694915254237,Graduate,20.659574468085108,Female,Other,0.826689977450946
6.720338983050848,Graduate,20.659574468085108,Female,Other,0.8963906573491904
6.838983050847458,Graduate,20.659574468085108,Female,Other,0.966091337247434
6.957627118644068,Graduate,20.659574468085108,Female,Other,1.0357920171456785
7.076271186440678,Graduate,20.659574468085108,Female,Other,1.105492697043922
7.194915254237288,Graduate,20.659574468085108,Female,Other,1.1751933769421656
7.313559322033899,Graduate,20.659574468085108,Female,Other,1.2448940568404092
7.432203389830509,Graduate,20.659574468085108,Female,Other,1.3145947367386528
7.5508474576271185,Graduate,20.659574468085108,Female,Other,1.3842954166368964
7.669491525423729,Graduate,20.659574468085108,Female,Other,1.4539960965351408
7.788135593220339,Graduate,20.659574468085108,Female,Other,1.5236967764333844
7.906779661016949,Graduate,20.659574468085108,Female,Other,1.593397456331628
8.02542372881356,Graduate,20.659574468085108,Female,Other,1.6630981362298725
8.14406779661017,Graduate,20.659574468085108,Female,Other,1.732798816128116
8.262711864406779,Graduate,20.659574468085108,Female,Other,1.8024994960263587
8.381355932203391,Graduate,20.659574468085108,Female,Other,1.872200175924604
8.5,Graduate,20.659574468085108,Female,Other,1.9419008558228468
1.5,High School,20.659574468085108,Female,Other,-2.1669355553149847
1.61864406779661,High School,20.659574468085108,Female,Other,-2.073618455736822
1.7372881355932204,High School,20.659574468085108,Female,Other,-1.9803013561586589
1.8559322033898304,High School,20.659574468085108,Female,Other,-1.886984256580496
1.9745762711864407,High School,20.659574468085108,Female,Other,-1.7936671570023326
2.093220338983051,High School,20.659574468085108,Female,Other,-1.7003500574241697
2.211864406779661,High School,20.659574468085108,Female,Other,-1.6070329578460067
2.330508474576271,High School,20.659574468085108,Female,Other,-1.5137158582678438
2.4491525423728815,High School,20.659574468085108,Female,Other,-1.4203987586896807
2.5677966101694913,High School,20.659574468085108,Female,Other,-1.3270816591115178
2.6864406779661016,High School,20.659574468085108,Female,Other,-1.2337645595333548
2.805084745762712,High School,20.659574468085108,Female,Other,-1.1404474599551917
2.923728813559322,High School,20.659574468085108,Female,Other,-1.047130360377029
3.0423728813559325,High School,20.659574468085108,Female,Other,-0.9538132607988654
3.1610169491525424,High School,20.659574468085108,Female,Other,-0.8604961612207025
3.2796610169491527,High School,20.659574468085108,Female,Other,-0.7671790616425396
3.398305084745763,High School,20.659574468085108,Female,Other,-0.6738619620643764
3.516949152542373,High School,20.659574468085108,Female,Other,-0.5805448624862137
3.635593220338983,High School,20.659574468085108,Female,Other,-0.4872277629080506
3.7542372881355934,High School,20.659574468085108,Female,Other,-0.3939106633298872
3.8728813559322033,High School,20.659574468085108,Female,Other,-0.30059356375172475
3.9915254237288136,High School,20.659574468085108,Female,Other,-0.20727646417356183
4.110169491525424,High School,20.659574468085108,Female,Other,-0.11395936459539846
4.228813559322035,High School,20.659574468085108,Female,Other,-0.020642265017235095
