model_name,outcome,term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.Instagram],0.14710402482359858,0.04804027718560333,3.0620977530013627,0.0022863168706754936,0.05277564511707171,0.24143240453012543
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.KakaoTalk],0.35021140017472285,0.10669722951753839,3.2822914124228197,0.00108337648489122,0.14070851282292066,0.5597142875265251
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.LINE],0.09554709881140916,0.16492140793550195,0.5793492791959189,0.5625491312735482,-0.2282805329354176,0.41937473055823593
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.LinkedIn],0.23069748484000902,0.08961857598911284,2.5742150251085767,0.010261395571685357,0.05472899423370112,0.4066659754463169
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.Snapchat],0.5672203234911551,0.10417324942697213,5.444971013300202,7.290186043181603e-08,0.3626733391087471,0.7717673078735632
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.TikTok],0.40863103865391226,0.049696901303979316,8.222465142332576,1.041782427243846e-15,0.3110498328184806,0.506212244489344
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.Twitter],0.03347961140361974,0.08113289641051,0.41265150000589373,0.679994567947439,-0.12582701852553443,0.19278624133277392
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.VKontakte],-0.7383194341837933,0.15472695297701528,-4.7717570854863975,2.245185867986318e-06,-1.0421299787162817,-0.43450888965130496
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.WeChat],-0.7258837047542375,0.3427374225455346,-2.1179003429594845,0.034552805589734455,-1.3988578761688877,-0.052909533339587256
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.WhatsApp],-0.0780064191682815,0.0695799274100581,-1.1211052105381374,0.2626465481285348,-0.21462848292805178,0.0586156445914888
RQ1_Harm_Index,Harm_Index,C(Most_Used_Platform)[T.YouTube],0.2792269336221761,0.11706094095818102,2.385312567425265,0.017342836409976272,0.04937461938915727,0.5090792478551949
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.Instagram],0.1498670670918606,0.07622717197938891,1.9660583385198023,0.04970622175243171,0.00019295937082247638,0.2995411748128987
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.KakaoTalk],0.008825816683912246,0.16930019018697687,0.05213116815855271,0.9584397865293536,-0.32359967209178925,0.34125130545961374
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.LINE],0.14291154012303586,0.26168651103349333,0.5461173354279028,0.5851678958540933,-0.3709169809214058,0.6567400611674775
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.LinkedIn],1.426226570851487,0.14220089900974298,10.02965931146306,3.8138637200781616e-22,1.1470112710609128,1.705441870642061
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.Snapchat],0.8425230052988182,0.165295303543779,5.09707769813117,4.497920910487415e-07,0.5179612194426823,1.167084791154954
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.TikTok],0.40168117975697876,0.07885579485533045,5.093870152395352,4.571821613965933e-07,0.24684570013566812,0.5565166593782894
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.Twitter],0.1300689313062054,0.1287363772689319,1.0103510294878795,0.3126935126073887,-0.12270841696241896,0.38284627957482975
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.VKontakte],0.15400273829433836,0.24551061620352807,0.6272752709262488,0.5306934724158172,-0.3280639770527983,0.636069453641475
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.WeChat],-1.639278356578977,0.5438333411610776,-3.014302788201874,0.0026734299593396066,-2.7071097869414253,-0.5714469262165287
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.WhatsApp],-0.09071275180958571,0.11040488114813289,-0.8216371492477241,0.41157702767406573,-0.3074957131184768,0.12607020949930536
RQ1_Sleep_Harm_Component,Sleep_Harm_Component,C(Most_Used_Platform)[T.YouTube],1.0242436844252467,0.18574465014041303,5.514256715609162,5.012088589757525e-08,0.6595290550901864,1.388958313760307
