k,silhouette_score
2.0,0.5154287264537055
3.0,0.4408008947238961
4.0,0.4054646303541684
5.0,0.3833212630031599
6.0,0.3702721368021206
7.0,0.37564471128090265
8.0,0.3664247713975818
