analysis,a_effect_usage_to_sleep,b_effect_sleep_to_outcome,direct_effect_c_prime,total_effect_c,indirect_effect_ab,indirect_ci_lower_95,indirect_ci_upper_95,indirect_pvalue_approx
primary_academic_harm_binary,-0.668115081535596,-0.15726162619470269,0.12742824335160272,0.23249710755909697,0.1050688642074942,0.07731441901515466,0.13181952007503922,0.0
sensitivity_harm_index,-0.668115081535596,-0.33082774850509783,0.3629277119752585,0.5839587201419785,0.22103100816672108,0.18407913507649934,0.2588597555828197,0.0
