outcome,comparison,coef,std err,t,P>|t|,Conf. Int. Low,Conf. Int. Upp.,pvalue-fdr_bh,reject-fdr_bh
Harm_Index,Instagram-Facebook,0.14710402482359858,0.04804027718560333,3.0620977530013627,0.0022863168706754936,0.05277564511707171,0.24143240453012543,0.006287371394357607,True
Harm_Index,KakaoTalk-Facebook,0.35021140017472285,0.10669722951753839,3.2822914124228197,0.00108337648489122,0.14070851282292066,0.5597142875265251,0.0032501294546736603,True
Harm_Index,LINE-Facebook,0.09554709881140916,0.16492140793550195,0.5793492791959189,0.5625491312735482,-0.2282805329354176,0.41937473055823593,0.6292922485432912,False
Harm_Index,LinkedIn-Facebook,0.23069748484000902,0.08961857598911284,2.574215025108577,0.01026139557168535,0.05472899423370112,0.4066659754463169,0.021846842184878486,True
Harm_Index,Snapchat-Facebook,0.5672203234911551,0.10417324942697213,5.444971013300202,7.290186043181603e-08,0.3626733391087471,0.7717673078735632,4.374111625908962e-07,True
Harm_Index,TikTok-Facebook,0.40863103865391226,0.049696901303979316,8.222465142332576,1.041782427243846e-15,0.3110498328184806,0.506212244489344,6.875764019809383e-14,True
Harm_Index,Twitter-Facebook,0.03347961140361974,0.08113289641051,0.41265150000589373,0.679994567947439,-0.12582701852553443,0.19278624133277392,0.7123752616592217,False
Harm_Index,VKontakte-Facebook,-0.7383194341837933,0.15472695297701528,-4.7717570854863975,2.245185867986318e-06,-1.0421299787162817,-0.43450888965130496,1.2348522273924748e-05,True
Harm_Index,WeChat-Facebook,-0.7258837047542375,0.3427374225455346,-2.117900342959485,0.03455280558973439,-1.3988578761688877,-0.052909533339587256,0.06001276760322289,False
Harm_Index,WhatsApp-Facebook,-0.0780064191682815,0.0695799274100581,-1.1211052105381372,0.2626465481285349,-0.21462848292805178,0.0586156445914888,0.335398801508078,False
Harm_Index,YouTube-Facebook,0.2792269336221761,0.11706094095818102,2.385312567425265,0.017342836409976272,0.04937461938915727,0.5090792478551949,0.03270363437309812,True
Harm_Index,KakaoTalk-Instagram,0.20310737535112428,0.10139928298288686,2.0030454789843306,0.045576562836949566,0.004007148884369011,0.4022076018178795,0.07520132868096678,False
Harm_Index,LINE-Instagram,-0.05155692601218942,0.16215539055035055,-0.31794765402005293,0.7506241600757677,-0.36995340803493415,0.2668395560105553,0.7621722240769333,False
Harm_Index,LinkedIn-Instagram,0.08359346001641044,0.09228297052596396,0.9058384178572935,0.3653484797509106,-0.09760664111098341,0.26479356114380426,0.42303508181684385,False
Harm_Index,Snapchat-Instagram,0.42011629866755656,0.0982891725619773,4.274288690370729,2.1970855285593757e-05,0.22712285787939643,0.6131097394557167,9.062977805307424e-05,True
Harm_Index,TikTok-Instagram,0.2615270138303137,0.03762792952411493,6.950342927125624,8.691249396526982e-12,0.1876435595361569,0.33541046812447045,1.434056150426952e-10,True
Harm_Index,Twitter-Instagram,-0.11362441341997884,0.08106050998059691,-1.4017233970915874,0.16146302123127856,-0.2727889106420285,0.04554008380207081,0.22201165419300803,False
Harm_Index,VKontakte-Instagram,-0.8854234590073919,0.15066982158485434,-5.876581319960869,6.6152159612319995e-09,-1.1812677166468954,-0.5895792013678884,6.237203620590171e-08,True
Harm_Index,WeChat-Instagram,-0.8729877295778361,0.34250480940451666,-2.5488334925737948,0.011031242462901839,-1.545505158817459,-0.20047030033821311,0.02275193757973504,True
Harm_Index,WhatsApp-Instagram,-0.22511044399188007,0.07068735286382122,-3.1845929274725293,0.001517066643565016,-0.363906967492914,-0.08631392049084613,0.004353321672838742,True
Harm_Index,YouTube-Instagram,0.13212290879857752,0.11580404498455968,1.1409179084909655,0.2543135570928162,-0.09526145629681873,0.35950727389397374,0.335398801508078,False
Harm_Index,LINE-KakaoTalk,-0.2546643013633137,0.18800323279614595,-1.354574054795372,0.17601196170647412,-0.6238137186477739,0.11448511592114652,0.2370773361760672,False
Harm_Index,LinkedIn-KakaoTalk,-0.11951391533471384,0.12870436351994155,-0.9285925672302188,0.3534361895014135,-0.3722284037439139,0.13320057307448624,0.41654979476952303,False
Harm_Index,Snapchat-KakaoTalk,0.2170089233164323,0.1347769647490193,1.6101336286994203,0.10784181035783762,-0.04762928135963451,0.4816471279924991,0.15472955399168004,False
