model_name,term,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
RQ2_Academic_Level_Interaction,Intercept,-2.1087073443861692,0.4178044499255289,-5.047115569884508,5.772653837117183e-07,-2.929057794370624,-1.2883568944017143
RQ2_Academic_Level_Interaction,C(Academic_Level)[T.High School],-0.29507531738042825,0.5971674364256355,-0.4941249294278517,0.621378472674093,-1.4676013047775296,0.8774506700166732
RQ2_Academic_Level_Interaction,C(Academic_Level)[T.Undergraduate],0.22075854591916266,0.1409535707215902,1.566179166579627,0.1177746452240027,-0.05600089306953843,0.49751798490786375
RQ2_Academic_Level_Interaction,C(Gender)[T.Male],0.07769748386716592,0.038316059511251825,2.0278046557566656,0.04297192108383278,0.0024646885551742326,0.1529302791791576
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Canada],-0.5158895326988787,0.10456573926692951,-4.933638267329083,1.0172608222542678e-06,-0.7212022125324054,-0.3105768528653521
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.China],-0.8484454519309808,0.12261879019641127,-6.919375493527031,1.0546047192188678e-11,-1.0892049262068175,-0.6076859776551441
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Denmark],-1.007043929192127,0.11022836319751093,-9.13597825441417,7.437208701902598e-19,-1.2234750547252464,-0.7906128036590075
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.France],-0.9554940541683753,0.10791841137809262,-8.85385581539741,7.370991683400416e-18,-1.1673896367822176,-0.7435984715545331
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.India],-0.6071283579307867,0.09905183366079677,-6.129400491563833,1.4988882215272297e-09,-0.8016145974380577,-0.41264211842351567
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Ireland],-0.6645536968796474,0.10731138597598029,-6.192760356560819,1.0261939328346124e-09,-0.8752573975930847,-0.45384999616621
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Italy],-0.6851999289225259,0.11500407126552496,-5.958049322797582,4.107250641306582e-09,-0.9110080590885257,-0.45939179875652614
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Japan],-1.481767716655613,0.11512676013746692,-12.870749727398831,4.609348454529981e-34,-1.7078167438999554,-1.2557186894112704
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Maldives],-0.31492645008335696,0.11725429918652211,-2.685841391473315,0.007412346830011713,-0.5451528565216335,-0.08470004364508049
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Mexico],-0.8971302444789997,0.11284038650961443,-7.950435763551384,7.812101063645433e-15,-1.1186900240985844,-0.6755704648594149
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Nepal],-0.6430147849669783,0.11581044691505311,-5.552303804151876,4.053679015236461e-08,-0.8704062171467906,-0.415623352787166
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Other],-0.6786883922982041,0.086721073244752,-7.8261069300047605,1.9447277612115376e-14,-0.8489634371718233,-0.5084133474245849
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Pakistan],0.20730094710910768,0.1173311916242521,1.7668016853777444,0.07771264693155096,-0.023076436050224386,0.4376783302684397
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Poland],-0.6167535125006396,0.12335066545444803,-5.0000015016408605,7.313405278088053e-07,-0.8589500088028572,-0.37455701619842197
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Russia],-0.6643919516725455,0.11508454948185366,-5.77307687838067,1.1864687239467042e-08,-0.8903580991621782,-0.43842580418291277
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Spain],-0.37694212337734856,0.10730273788480356,-3.512884487458469,0.0004727878775717559,-0.587628843741511,-0.16625540301318606
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Sri Lanka],-0.9385897282022995,0.11550326841389526,-8.126088041413254,2.111947540235992e-15,-1.1653780217087555,-0.7118014346958434
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Switzerland],-1.0147109684540652,0.11032412487867665,-9.197543779023327,4.47592246057968e-19,-1.2313301200798927,-0.7980918168282376
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.Turkey],-0.4473541993205463,0.1090902949719875,-4.100769912075306,4.6192408493467304e-05,-0.6615507512844097,-0.233157647356683
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.UK],-0.5013834661724145,0.11465262088563269,-4.37306589504439,1.4183504266516477e-05,-0.7265015307411157,-0.27626540160371327
RQ2_Academic_Level_Interaction,C(Country_Grouped)[T.USA],-0.5656862727143038,0.10758618189397712,-5.257982602931018,1.9560717103850773e-07,-0.7769295295646439,-0.3544430158639637
RQ2_Academic_Level_Interaction,Avg_Daily_Usage_Hours,0.5874771591423403,0.02000596302833009,29.365102710148186,8.188870853830057e-123,0.5481958619335905,0.6267584563510902
RQ2_Academic_Level_Interaction,Avg_Daily_Usage_Hours:C(Academic_Level)[T.High School],0.19905268015931935,0.10739101318936639,1.853532006522023,0.06424162461546214,-0.011807366950964543,0.40991272726960326
RQ2_Academic_Level_Interaction,Avg_Daily_Usage_Hours:C(Academic_Level)[T.Undergraduate],-0.01627422078996746,0.026274464120600787,-0.6193930622245298,0.535866142215962,-0.06786359105224493,0.03531514947231001
RQ2_Academic_Level_Interaction,Age,-0.012791127939779226,0.018399583329899376,-0.6951857392875634,0.4871777956935992,-0.04891833162777217,0.023336075748213718
