bootstrap_indirect_effect,analysis
0.10200618922914106,primary_academic_harm_binary
0.0809095431649082,primary_academic_harm_binary
0.1170857655965252,primary_academic_harm_binary
0.10487618480148397,primary_academic_harm_binary
0.09448505521507605,primary_academic_harm_binary
0.11802955000734978,primary_academic_harm_binary
0.10670302780699055,primary_academic_harm_binary
0.1108975732456588,primary_academic_harm_binary
0.07489274500185272,primary_academic_harm_binary
0.0723667693783744,primary_academic_harm_binary
0.12050690041598293,primary_academic_harm_binary
0.11807365890048718,primary_academic_harm_binary
0.07831900394188065,primary_academic_harm_binary
0.11237178027615415,primary_academic_harm_binary
0.0951026401283358,primary_academic_harm_binary
0.12215815577357639,primary_academic_harm_binary
0.0872743848060677,primary_academic_harm_binary
0.09389768904661662,primary_academic_harm_binary
0.09397620117902535,primary_academic_harm_binary
0.10258826488403228,primary_academic_harm_binary
0.12499433176746694,primary_academic_harm_binary
0.09151325322983689,primary_academic_harm_binary
0.1195601961502238,primary_academic_harm_binary
0.14640965927287206,primary_academic_harm_binary
0.09271048355274675,primary_academic_harm_binary
0.11662225757691642,primary_academic_harm_binary
0.11248061323308829,primary_academic_harm_binary
0.098456827888233,primary_academic_harm_binary
0.12472859585271537,primary_academic_harm_binary
0.10655193765050408,primary_academic_harm_binary
0.09980758628749604,primary_academic_harm_binary
0.07589309374256102,primary_academic_harm_binary
0.11005499092054292,primary_academic_harm_binary
0.1110477755247082,primary_academic_harm_binary
0.11220424375825913,primary_academic_harm_binary
0.0845037326758704,primary_academic_harm_binary
0.1154687801483821,primary_academic_harm_binary
0.10566032100807914,primary_academic_harm_binary
0.12440822740481239,primary_academic_harm_binary
0.11139224310589715,primary_academic_harm_binary
0.09802970218957252,primary_academic_harm_binary
0.10451672924836997,primary_academic_harm_binary
0.122755719763254,primary_academic_harm_binary
0.14926324259301843,primary_academic_harm_binary
0.08313880936394392,primary_academic_harm_binary
0.07365965261824312,primary_academic_harm_binary
0.10822978250144819,primary_academic_harm_binary
0.0951414090157624,primary_academic_harm_binary
0.09767455917914428,primary_academic_harm_binary
0.09353380005277903,primary_academic_harm_binary
0.08885347293198265,primary_academic_harm_binary
0.10634286060841756,primary_academic_harm_binary
0.11929684501840386,primary_academic_harm_binary
0.10744367652975056,primary_academic_harm_binary
0.10704461293765243,primary_academic_harm_binary
0.11095687588826,primary_academic_harm_binary
0.1143573708406907,primary_academic_harm_binary
0.09347714789533262,primary_academic_harm_binary
0.10243314131890224,primary_academic_harm_binary
0.1131740522502351,primary_academic_harm_binary
0.10903937929235434,primary_academic_harm_binary
0.10073677826211885,primary_academic_harm_binary
0.09472067561997083,primary_academic_harm_binary
0.100128555639775,primary_academic_harm_binary
0.12052914909918533,primary_academic_harm_binary
0.0887594821308859,primary_academic_harm_binary
0.08162527080481172,primary_academic_harm_binary
0.12105302264334669,primary_academic_harm_binary
0.13214683107955078,primary_academic_harm_binary
0.12945727726132017,primary_academic_harm_binary
0.09423871394202273,primary_academic_harm_binary
0.09915579736543269,primary_academic_harm_binary
0.0845262027143763,primary_academic_harm_binary
0.10989052074000186,primary_academic_harm_binary
0.10462631892367809,primary_academic_harm_binary
0.1176039933543728,primary_academic_harm_binary
0.10169920396160664,primary_academic_harm_binary
0.1082733426285702,primary_academic_harm_binary
0.07769841059966054,primary_academic_harm_binary
0.1099869457518375,primary_academic_harm_binary
0.14383734900008097,primary_academic_harm_binary
0.10245332012578483,primary_academic_harm_binary
0.07949534611513645,primary_academic_harm_binary
0.11478795750280428,primary_academic_harm_binary
0.11204105063786617,primary_academic_harm_binary
0.11201632569233706,primary_academic_harm_binary
0.11499031466333227,primary_academic_harm_binary
0.11119356792941947,primary_academic_harm_binary
0.12207661226128251,primary_academic_harm_binary
0.13548200097638352,primary_academic_harm_binary
0.09876969691321552,primary_academic_harm_binary
0.11335319023094391,primary_academic_harm_binary
0.10938634474776364,primary_academic_harm_binary
0.09342345954942433,primary_academic_harm_binary
0.09431662494019147,primary_academic_harm_binary
0.11969315156434145,primary_academic_harm_binary
0.10014376822723153,primary_academic_harm_binary
0.11769627258295219,primary_academic_harm_binary
0.12013932117815294,primary_academic_harm_binary
0.09456184212215557,primary_academic_harm_binary
0.10660443297398174,primary_academic_harm_binary
0.09637473522060476,primary_academic_harm_binary
0.10343778589923945,primary_academic_harm_binary
0.10645921982138444,primary_academic_harm_binary
0.09752452606674115,primary_academic_harm_binary
0.10152497056607239,primary_academic_harm_binary
0.07784737290930956,primary_academic_harm_binary
0.10248309164079637,primary_academic_harm_binary
0.10568908467019959,primary_academic_harm_binary
0.10931205287523946,primary_academic_harm_binary
0.09091142914340213,primary_academic_harm_binary
0.11311775599106837,primary_academic_harm_binary
0.11349271357782827,primary_academic_harm_binary
0.09075110914407172,primary_academic_harm_binary
0.08882614137637049,primary_academic_harm_binary
0.12097747978124677,primary_academic_harm_binary
0.08420046171091189,primary_academic_harm_binary
0.08785858865821908,primary_academic_harm_binary
0.09345683008248161,primary_academic_harm_binary
0.09630365351191715,primary_academic_harm_binary
0.10927091530846814,primary_academic_harm_binary
0.12830406877804215,primary_academic_harm_binary
0.09187960587890551,primary_academic_harm_binary
0.11693694028768888,primary_academic_harm_binary
0.12125541429942253,primary_academic_harm_binary
0.09789466998248607,primary_academic_harm_binary
0.11574092522950938,primary_academic_harm_binary
0.08462417433568717,primary_academic_harm_binary
0.09395236903393372,primary_academic_harm_binary
0.09469669206254698,primary_academic_harm_binary
0.09771001281112758,primary_academic_harm_binary
0.09753944144141433,primary_academic_harm_binary
0.0952821916582917,primary_academic_harm_binary
0.07538118258854513,primary_academic_harm_binary
0.12182091886101107,primary_academic_harm_binary
0.10032314446090877,primary_academic_harm_binary
0.12979506161679702,primary_academic_harm_binary
0.10016205602575212,primary_academic_harm_binary
0.11891930690951971,primary_academic_harm_binary
0.10976793405711154,primary_academic_harm_binary
0.10974543185726554,primary_academic_harm_binary
0.09164922849035075,primary_academic_harm_binary
0.09698542909453302,primary_academic_harm_binary
